SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,106,"['able', 'leader', 'ability', 'skills', 'capable', 'intelligence', 'smart', 'leadership', 'wise', 'knowledgeable', 'diplomacy', 'good', 'basic', 'kindness', 'well', 'morality', 'honest', 'honesty', 'integrity', 'unity', 'whole', 'knowledge', 'compassion', 'achievement', 'situations', 'office', 'president', 'negotiator', 'time', 'term', 'experience', 'serve', 'qualified', 'character', 'qualities', 'logical', 'fulfilled', 'different', 'empathy', 'empathize', 'understanding', 'sense', 'u', 'motives', 'think', 'political', 'politics', 'sociology', 'ideas', 'deliberate', 'problem', 'nice', 'polite', 'course', 'run', 'working', 'making', 'constitution', 'goals', 'work', 'care', 'caring', 'solving', 'determination', 'management', 'decisions', 'decisiveness', 'compromise', 'teamwork', 'selfless', 'prejudice', 'prejudices', 'dedication', 'promises', 'dedicated', 'commitment', 'mature', 'long', 'born', 'genuine', 'progressive', 'appeals', 'equality', 'someone', 'humility', 'humble', 'ethic', 'systems', 'relations', 'groups', 'people', 'country', 'county', 'bravery', 'common', 'lot', 'passion', 'friendly', 'approachable', 'willingness', 'calm', 'agreeable', 'strong', 'hard', 'trustworthy', 'trustworthiness']","[((Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'), (Synset('maturity.n.02'), 'state of being mature; full development'))]","(20, (1, 'diplomacy', 18, 22))","(19, (0, 'leadership', 17, 29))"
1,2,"['sure', 'confident']","[((Synset('fourth_dimension.n.01'), 'the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event'), (Synset('longness.n.01'), 'the property of being of long spatial extent'))]","(1, (8, 'confident', 3, 3))","(0, None)"
2,1,['together'],"[((Synset('gain.v.08'), 'earn on some commercial or business transaction; earn as salary or wages'), (Synset('yield.v.10'), 'bring in'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
3,1,['oriented'],"[((Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'), (Synset('authenticity.n.01'), 'undisputed credibility'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
4,1,['idiot'],"[((Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'), (Synset('progressiveness.n.01'), 'advancement toward better conditions or policies or methods'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
5,1,['proud'],"[((Synset('promise.n.01'), 'a verbal commitment by one person to another agreeing to do (or not to do) something in the future'), (Synset('entreaty.n.01'), 'earnest or urgent request'))]","(1, (8, 'confident', 3, 3))","(0, None)"
6,1,['eloquent'],"[((Synset('leadership.n.03'), 'the status of a leader'), (Synset('equality.n.02'), 'a state of being essentially equal or equivalent; equally balanced'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
7,1,['vast'],"[((Synset('leader.n.01'), 'a person who rules or guides or inspires others'), (Synset('person.n.01'), 'a human being'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
8,1,['preferably'],"[((Synset('wisdom.n.02'), 'the trait of utilizing knowledge and experience with common sense and insight'), (Synset('humility.n.01'), 'a disposition to be humble; a lack of false pride'))]","(0, None)","(0, None)"
9,1,['exceptionally'],"[((Synset('cognition.n.01'), 'the psychological result of perception and learning and reasoning'), (Synset('arrangement.n.03'), 'an organized structure for arranging or classifying'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
10,1,['others'],"[((Synset('character.n.03'), 'the inherent complex of attributes that determines a persons moral and ethical actions and reactions'), (Synset('courage.n.01'), 'a quality of spirit that enables you to face danger or pain without showing fear'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
11,1,['level-headed'],"[((Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'), (Synset('commonality.n.02'), 'sharing of common attributes'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
12,1,['international'],"[((Synset('smart.n.01'), 'a kind of pain such as that caused by a wound or a burn or a sore'), (Synset('passion.n.07'), 'the suffering of Jesus at the Crucifixion'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
13,1,['crucial'],"[((Synset('niceness.n.02'), 'the quality of nice'), (Synset('agreeableness.n.01'), 'pleasantness resulting from agreeable conditions'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
14,1,['ulterior'],"[((Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'), (Synset('hardness.n.04'), 'the quality of being difficult to do'))]","(1, (6, 'honesty', 7, 10))","(0, None)"
15,1,"[""i'm""]","[((Synset('wisdom.n.02'), 'the trait of utilizing knowledge and experience with common sense and insight'), (Synset('trustworthiness.n.01'), 'the trait of deserving trust and confidence'))]","(0, None)","(0, None)"
16,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
17,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
18,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
19,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
20,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
21,1,['umm'],NA,"(0, None)","(0, None)"
22,1,['controlling'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
23,1,['join'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
24,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
25,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
